,year,NDVI
0,2000,0.4307580486715785
1,2001,0.43644174927113705
2,2002,0.44445757575757583
3,2003,0.43666911136980985
4,2004,0.4379552877138413
5,2005,0.3749949485136973
6,2006,0.4113631527858668
7,2007,0.4181623858558383
8,2008,0.4165379685375802
9,2009,0.44512080093312595
10,2010,0.4072746161321672
11,2011,0.445006234220237
12,2012,0.417073324266563
13,2013,0.4354678911564626
14,2014,0.4479583560046639
15,2015,0.4489842176870748
16,2016,0.46095710679611657
17,2017,0.4752265734265735
18,2018,0.4770524864024865
19,2019,0.43864787337347055
